Country Name,Capitol City,Population,GDP,COVID Cases,COVID Deaths,Area,CFR,GDPPC,CaseRate,DeathRate,PopDensity
Madagascar,Antananarivo,27691018,13056079982,64236,1393,587041,0.021686,471.492,231.974,5.031,47.171
Iceland,Reykjavik,341243,21718075725,186179,120,103000,0.000645,63644.018,54559.068,35.166,3.313
Botswana,Gaborone,2351627,15061922802,306200,2690,582000,0.008785,6404.894,13020.772,114.389,4.041
Jordan,Amman,10203134,43697659296,1696054,14066,89342,0.008293,4282.768,16622.873,137.86,114.203
Georgia,Tbilisi,3989167,15846489611,1655221,16811,69700,0.010156,3972.381,41492.898,421.416,57.233
Lithuania,Vilnius,2722289,56546957475,1060423,9128,65300,0.008608,20771.842,38953.359,335.306,41.689
South Korea,Seoul,51269185,1.64E+12,17727086,23606,100210,0.001332,31988.026,34576.493,46.043,511.617
Angola,Luanda,32866272,58375976293,99287,1900,1246700,0.019136,1776.167,302.094,5.781,26.363
Dominican Republic,Santo Domingo,10847910,78844702329,580201,4376,48671,0.007542,7268.193,5348.505,40.34,222.882
Mauritania,Nouakchott,4649658,7913680231,58805,982,1030700,0.016699,1701.992,1264.717,21.12,4.511
Japan,Tokyo,126476461,5.06E+12,8260356,29974,377930,0.003629,40007.445,6531.141,23.699,334.656
Australia,Canberra,25499884,1.33E+12,6442558,7670,7692024,0.001191,52157.1,25265.048,30.079,3.315
Ukraine,Kiev,43733762,1.55E+11,5006460,108449,603500,0.021662,3544.173,11447.586,247.975,72.467
Peru,Lima,32971854,2.02E+11,3570801,212979,1285216,0.059645,6126.437,10829.846,645.942,25.655
Belgium,Brussels,11589623,5.22E+11,4116397,31613,30528,0.00768,45040.292,35517.954,272.77,379.639
Armenia,Yerevan,2963243,12641209802,422900,8623,29743,0.02039,4266.005,14271.526,290.999,99.628
Netherlands,Amsterdam,17134872,9.14E+11,8065852,22292,41850,0.002764,53341.513,47072.73,130.097,409.435
